date,ward_id,period,sar_water_extent
2015-04-01,44,2014-2016,0.0
2015-04-01,85,2014-2016,0.0
2015-04-01,89,2014-2016,0.0
2015-04-01,67,2014-2016,0.0
2015-04-01,76,2014-2016,0.0
2015-04-01,74,2014-2016,0.0
2015-04-01,87,2014-2016,0.0
2015-04-01,132,2014-2016,0.0
2015-04-01,69,2014-2016,0.0
2015-04-01,22,2014-2016,0.0
2015-04-01,119,2014-2016,0.0
2015-04-01,54,2014-2016,0.0
2015-04-01,122,2014-2016,0.0
2015-04-01,29,2014-2016,0.0
2015-04-01,109,2014-2016,0.0
2015-04-01,32,2014-2016,0.0
2015-04-01,57,2014-2016,0.0
2015-04-01,136,2014-2016,0.0
2015-04-01,106,2014-2016,0.0
2015-04-01,4,2014-2016,0.0
2015-04-01,52,2014-2016,0.0
2015-04-01,38,2014-2016,0.0
2015-04-01,81,2014-2016,0.0
2015-04-01,127,2014-2016,0.0
2015-04-01,53,2014-2016,0.0
2015-04-01,34,2014-2016,0.0
2015-04-01,135,2014-2016,0.0
2015-04-01,117,2014-2016,0.0
2015-04-01,105,2014-2016,0.0
2015-04-01,20,2014-2016,0.0
2015-04-01,102,2014-2016,0.0
2015-04-01,46,2014-2016,0.0
2015-04-01,73,2014-2016,0.0
2015-04-01,82,2014-2016,0.0
2015-04-01,124,2014-2016,0.0
2015-04-01,56,2014-2016,0.0
2015-04-01,3,2014-2016,0.0
2015-04-01,36,2014-2016,0.0
2015-04-01,41,2014-2016,0.0
2015-04-01,37,2014-2016,0.0
2015-04-01,139,2014-2016,0.0
2015-04-01,23,2014-2016,0.0
2015-04-01,40,2014-2016,0.0
2015-04-01,121,2014-2016,0.0
2015-04-01,33,2014-2016,0.0
2015-04-01,103,2014-2016,0.0
2015-04-01,13,2014-2016,0.0
2015-04-01,66,2014-2016,0.0
2015-04-01,123,2014-2016,0.0
2015-04-01,63,2014-2016,0.0
2015-04-01,21,2014-2016,0.0
2015-04-01,49,2014-2016,0.0
2015-04-01,70,2014-2016,0.0
2015-04-01,45,2014-2016,0.0
2015-04-01,100,2014-2016,0.0
2015-04-01,92,2014-2016,0.0
2015-04-01,9,2014-2016,0.0
2015-04-01,114,2014-2016,0.0
2015-04-01,101,2014-2016,0.0
2015-04-01,138,2014-2016,0.0
2015-04-01,31,2014-2016,0.0
2015-04-01,104,2014-2016,0.0
2015-04-01,5,2014-2016,0.0
2015-04-01,126,2014-2016,0.0
2015-04-01,14,2014-2016,0.0
2015-04-01,111,2014-2016,0.0
2015-04-01,130,2014-2016,0.0
2015-04-01,19,2014-2016,0.0
2015-04-01,78,2014-2016,0.0
2015-04-01,27,2014-2016,0.0
2015-04-01,98,2014-2016,0.0
2015-04-01,6,2014-2016,0.0
2015-04-01,2,2014-2016,0.0
2015-04-01,59,2014-2016,0.0
2015-04-01,131,2014-2016,0.0
2015-04-01,42,2014-2016,0.0
2015-04-01,129,2014-2016,0.0
2015-04-01,51,2014-2016,0.0
2015-04-01,120,2014-2016,0.0
2015-04-01,8,2014-2016,0.0
2015-04-01,1,2014-2016,0.0
2015-04-01,80,2014-2016,0.0
2015-04-01,55,2014-2016,0.0
2015-04-01,64,2014-2016,0.0
2015-04-01,107,2014-2016,0.0
2015-04-01,77,2014-2016,0.0
2015-04-01,28,2014-2016,0.0
2015-04-01,112,2014-2016,0.0
2015-04-01,133,2014-2016,0.0
2015-04-01,65,2014-2016,0.0
2015-04-01,24,2014-2016,0.0
2015-04-01,128,2014-2016,0.0
2015-04-01,50,2014-2016,0.0
2015-04-01,113,2014-2016,0.0
2015-04-01,94,2014-2016,0.0
2015-04-01,79,2014-2016,0.0
2015-04-01,11,2014-2016,0.0
2015-04-01,15,2014-2016,0.0
2015-04-01,140,2014-2016,0.0
2015-04-01,97,2014-2016,0.0
2015-04-01,48,2014-2016,0.0
2015-04-01,35,2014-2016,0.0
2015-04-01,116,2014-2016,0.0
2015-04-01,95,2014-2016,0.0
2015-04-01,30,2014-2016,0.0
2015-04-01,58,2014-2016,0.0
2015-04-18,93,2014-2016,0.0
2015-04-18,61,2014-2016,0.0
2015-04-18,86,2014-2016,0.0
2015-04-18,90,2014-2016,0.05683430798953321
2015-04-18,26,2014-2016,0.0
2015-04-18,72,2014-2016,0.0
2015-04-18,134,2014-2016,0.0
2015-04-18,99,2014-2016,0.0
