system:index,date,timestamp,.geo
154,2016-12-01,1.480572043775E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2016-12-01,1.480572084538E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2016-12-09,1.4812418413E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2016-12-09,1.481241866E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2016-12-15,1.481846156E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2017-01-02,1.483315439E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2017-01-02,1.483315464E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2017-01-07,1.483768425829E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2017-01-07,1.483768466587E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2017-01-08,1.48391975466E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2017-01-12,1.484200843177E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2017-01-12,1.484200883935E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2017-01-26,1.485389038E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2017-01-26,1.485389063E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2017-02-01,1.485993354E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2017-02-07,1.486425838E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2017-02-07,1.48642586346E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2017-02-19,1.487462653E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2017-02-23,1.487829642559E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2017-02-23,1.487829683321E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2017-02-25,1.488066958E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2017-03-03,1.488499453E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2017-03-09,1.489103758E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2017-03-12,1.489320728E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2017-03-21,1.49014055E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2017-03-21,1.490140575E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2017-03-24,1.490357528E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2017-03-27,1.490573037E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2017-03-27,1.49057306273E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2017-04-02,1.4911773508E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2017-04-02,1.4911773758E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2017-04-05,1.491394329E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2017-04-06,1.491458440557E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2017-04-06,1.491458481319E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2017-04-08,1.491609838E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2017-04-08,1.491609863E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2017-04-14,1.49221415133E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2017-04-14,1.49221417633E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2017-04-17,1.49243113E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2017-04-20,1.49264663883E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2017-04-20,1.49264666383E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2017-04-26,1.493250951E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2017-04-26,1.49325097663E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2017-04-29,1.49346793047E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2017-05-02,1.49368343939E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2017-05-02,1.493683464E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2017-05-08,1.49428775258E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2017-05-08,1.494287777E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2017-05-11,1.494504731E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
